location_area,direction,category,places,place_count
Parel,West,Other,"[""Palladium""]",1
Parel,West,Other,"[""Nipponzhan Myohoji""]",1
Parel,West,ATM,"[""Sbi ATM""]",1
Parel,West,Other,"[""Reliance Life Sciences Pvt. Ltd""]",1
Parel,West,Hospital,"[""Bosco Nursing Home and Ent Research Centre""]",1
Parel,West,Hospital,"[""Peoples Mobile Hospitals""]",1
Parel,West,Hospital,"[""ESIS Hospital WORLI""]",1
Parel,West,Hospital,"[""Poddar Hospital""]",1
Parel,West,Clinic,"[""Nirmal Clinic""]",1
Parel,West,Hospital,"[""Worli Hospital For Women""]",1
Parel,West,Clinic,"[""CGHS Dispensary No.3 Worli""]",1
Parel,West,Clinic,"[""Radhakrishna Clinic. Dr Bina Pansare""]",1
Parel,West,Other,"[""Chemist""]",1
Parel,West,Railway Station,"[""Worliway Service Station""]",1
Parel,West,Commercial / Office,"[""Rbs office bank""]",1
Parel,West,Bank,"[""Kotak mahindra bank""]",1
Parel,West,Food & Beverage,"[""Starbucks""]",1
Parel,West,FastFood/Restaurant,"[""Domino's Pizza""]",1
Parel,West,Bar,"[""The Bar Stock Exchange""]",1
Parel,West,Other,"[""Bombay Canteen""]",1
Parel,West,Cafe,"[""Cafe Coffee Day""]",1
Parel,West,Other,"[""Hard Rock""]",1
Parel,West,Other,"[""Shiro""]",1
Parel,West,Other,"[""Blue Frog""]",1
Parel,West,Transport Hub,"[""Delhi Highway""]",1
Parel,West,Bar,"[""Barking Deer""]",1
Parel,West,Other,"[""TOIT Brewery Taproom and Kitchen""]",1
Parel,West,Other,"[""White owl""]",1
Parel,West,Other,"[""Social""]",1
Parel,West,FastFood/Restaurant,"[""California Pizza Kitchen""]",1
Parel,West,Other,"[""Riso""]",1
Parel,West,Other,"[""Firki""]",1
Parel,West,Food & Beverage,"[""Burger King""]",1
Parel,West,FastFood/Restaurant,"[""McDonald's""]",1
Parel,West,Other,"[""SpiceKlub""]",1
Parel,West,Cafe,"[""Cafe Waah Maratha""]",1
Parel,West,Other,"[""ASILO""]",1
Parel,West,Bar,"[""Aer Rooftop Bar""]",1
Parel,West,Other,"[""The Learning Curve Worli""]",1
Parel,West,School,"[""Sunrise Play School""]",1
Parel,West,School,"[""Kamaladevi Gobindram Tahiliani High School""]",1
Parel,West,Institute,"[""Sasmira's Institute of Management Studies and Research""]",1
Parel,West,Institute,"[""Sasmira's Institute of Man-made Textiles""]",1
Parel,West,School,"[""Prabhadevi Municipal School""]",1
Parel,West,School,"[""Worli Seaface Municipal School""]",1
Parel,West,School,"[""KASTURBA GANDHI MUNICIPAL SCHOOL""]",1
Parel,West,School,"[""The True School Of Music""]",1
Parel,West,Railway Station,"[""Lower parel railway station"", ""Parel railway station""]",2
Parel,West,Railway Station,"[""Prabhadevi Railway Station"", ""Prabhadevi railway station""]",2
Parel,West,Metro Station,"[""Mahalaxmi Metro Station""]",1
Parel,West,Other,"[""Grand Galleria""]",1
Parel,West,Transport Hub,"[""Eastern Express Highway""]",1
Parel,West,School,"[""Star Wonders School""]",1
Parel,West,University,"[""RD Digital University""]",1
Parel,West,Hospital,"[""BMC Hospital""]",1
Parel,West,Airport,"[""Shivaji Maharaj Intl Airport""]",1
Parel,West,Commercial Complex,"[""Pinnacle Business Park""]",1
Parel,West,Speciality Hospital,"[""ITC Grand Central""]",1
Parel,West,Other,"[""KidZania Mumbai""]",1
Parel,West,Other,"[""The Bombay Presidency Golf Club1""]",1
Parel,West,Sports Facility,"[""Mahalaxmi Sports Stadium""]",1
Parel,West,Tourist Place,"[""Dadar Beach""]",1
Parel,West,Religious Place,"[""Buddhist Temple""]",1
Parel,West,Hospital,"[""Laxmi Niwas General Hospital""]",1
