geo_place,latitude,longitude
Agripada,18.97504,72.8250555
Airoli,19.1585147,72.9994019
Andheri East,19.1158835,72.854202
Andheri West,19.1172495,72.833968
Andheri,19.1196976,72.8464205
Bandra East,19.0616565,72.8498111
Bandra West,19.0583358,72.8302669
Bandra,19.0549792,72.8402203
Belapur,19.0197481,73.0222649
Bhandup East,19.1378308,72.9361964
Bhandup West,19.1462636,72.9339461
Bhandup,19.1438684,72.9384327
Borivali East,19.2267228,72.8619328
Borivali West,19.2298129,72.8471376
Borivali,19.229068,72.8573628
Byculla East,18.9736935,72.8367795
Byculla West,18.9750879,72.8282502
Byculla,18.9766219,72.8327936
Byculla-Mazgaon,18.9724562,72.8319615
Chembur East,19.0752463,72.8546901
Chembur West,19.0756195,72.8733684
Chembur,19.054818,72.8979713
Colaba,18.915091,72.8259691
Dadar East,19.0162531,72.8522274
Dadar West,19.0238887,72.8382236
Dadar,19.0192269,72.8428479
Dahisar East,19.2486925,72.8640593
Dahisar West,19.248875,72.852959
Dahisar,19.2493572,72.8596302
Diva,19.1887564,73.0414169
Ghatkopar East,19.0833438,72.9123246
Ghatkopar West,19.0897439,72.9048035
Ghatkopar,19.0856928,72.9083668
Girgaon-Malabar,18.956456,72.809283
Goregaon East,19.1692623,72.8552548
Goregaon West,19.1633281,72.8411995
Goregaon,19.1648688,72.8495492
Grant Road East,18.962,72.83734
Grant Road,18.9633549,72.8158261
Jogeshwari East,19.1429455,72.855185
Jogeshwari West,19.136394,72.8373817
Jogeshwari,19.1348994,72.8488199
Juhu,19.1070215,72.8275275
Kalamboli,19.0344708,73.1149672
Kalyan-Dombivli East,19.2136669,73.1041317
Kalyan-Dombivli West,19.240353,73.1252789
Kalyan-Dombivli,19.2391602,73.1293186
Kamothe,19.0164338,73.0806552
Kandivali East,19.2051958,72.8626165
Kandivali West,19.2055321,72.8399273
Kandivali,19.2041136,72.8517376
Kanjurmarg East,19.124102,72.9385562
Kanjurmarg,19.12978,72.95617
Khar East,19.07246,72.832478
Khar West,19.0682411,72.8400412
Khar,19.0493,72.9618
Kharghar,19.0525298,73.0735111
Kurla East,19.0628944,72.8825604
Kurla West,19.0686026,72.876583
Kurla,19.0715497,72.8633213
Mahim East,19.017953,72.8483573
Mahim West,19.0357325,72.8397558
Mahim,19.0423145,72.8398344
Malad East,19.1860219,72.8563181
Malad West,19.1852851,72.8358611
Malad,19.1861,72.8486
Mandvi-Bhuleshwar,18.9568053,72.8322731
Mankhurd,19.0485178,72.9323356
Matunga East,19.0261579,72.8520846
Matunga West,19.0317259,72.8433917
Matunga,19.0274356,72.8501467
Mazgaon-Chinchpokli,18.9828374,72.8291571
Mira-Bhayandar,19.2970316,72.858686
Mulund East,19.1704719,72.9610447
Mulund West,19.1719717,72.9511956
Mulund,19.1721762,72.9562383
Mumbra East,19.2204933,73.081496
Mumbra,19.1899425,73.0230752
Naigaon East,19.0138034,72.8463224
Naigaon West,19.3654215,72.8608206
Nalasopara East,19.4174424,72.8175975
Nalasopara West,19.4174424,72.8175975
Nalasopara,19.4174424,72.8175975
Nerul,19.0335938,73.018164
Palghar-Boisar,19.7984865,72.761452
Panvel East,18.9909076,73.1241454
Panvel,18.9895249,73.1221935
Parel,19.00843,72.8425
Parel East,19.0138034,72.8463224
Parel West,18.9993443,72.828349
Powai,19.1187195,72.9073476
Sanpada,19.0659774,73.0095329
Santacruz East,19.0928172,72.8569577
Santacruz West,19.0844004,72.8372899
Santacruz,19.0875,72.8328
Seawoods East,19.0240071,73.0231545
Seawoods,19.0218192,73.0191588
Sion East,19.0428153,72.8653563
Sion West,19.0398168,72.8496337
Sion,19.0425886,72.8477069
Taloja,19.0754826,73.0921912
Thane East,19.1733658,72.9682573
Thane West,19.186483,72.9757664
Thane,19.19326,72.96735
Ulwe,18.982589,73.0056941
Vasai East,19.4036749,72.8257906
Vasai West,19.385748,72.829894
Vasai,19.3428238,72.805441
Vashi,19.0632481,72.9987966
Vidyavihar East,19.0795422,72.8971169
Vidyavihar West,19.0795422,72.8971169
Vidyavihar,19.0795422,72.8971169
Vikhroli East,19.1172592,72.9355194
Vikhroli West,19.114541,72.9257184
Vikhroli,19.1114795,72.928021
Vile Parle East,19.1007285,72.8445616
Vile Parle West,19.103908,72.840301
Vile Parle,19.0999098,72.8440038
Virar East,19.4579689,72.8142138
Virar West,19.4533576,72.8057966
Virar,19.4497996,72.8120613
Wadala East,19.0158783,72.8550732
Wadala West,19.0139248,72.8508793
Wadala,19.0269192,72.8759337
Worli,19.0117388,72.8178706
