,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,prop_type,city,luxury_score,Others,Servant Room,Study Room,Pooja Room,Store Room,ageing,location_area
22,100000000.0,84961.0,,1177.0,,North-East,Freehold,3.0,4.0,0.0,26.0,Furnished,Flat,Mumbai,420,0,1,0,0,1,Relatively New,Worli
491,65000000.0,85413.0,761.0,759.0,760.0,North,Co-operative Society,2.0,2.0,1.0,7.0,Unfurnished,Flat,Mumbai,84,1,0,0,0,0,New,Dadar
648,25000000.0,330862.0,,,,South,Co-operative Society,2.0,2.0,1.0,5.0,Unfurnished,Flat,Mumbai,130,0,0,0,0,0,Relatively New,Borivali
1181,33000000.0,5500000.0,,6.0,,West,Freehold,1.0,2.0,1.0,1.0,Unfurnished,Flat,Mumbai,28,1,0,1,0,0,Old,Dadar
1331,60000000.0,93750.0,,500.0,640.0,,Freehold,2.0,2.0,1.0,2.0,Furnished,Flat,Mumbai,48,0,0,0,1,0,Old,Bandra
3020,104500000.0,78335.0,,1334.0,,East,Freehold,3.0,3.0,0.0,0.0,Unfurnished,Flat,Mumbai,174,0,0,0,0,0,New,Worli
3058,105000000.0,76197.0,,1378.0,,East,Freehold,3.0,3.0,3.0,15.0,Semifurnished,Flat,Mumbai,84,0,0,0,0,0,New,Parel
3236,90000000.0,78878.0,,1141.0,,West,Freehold,3.0,3.0,0.0,5.0,Semifurnished,Flat,Mumbai,88,0,0,0,0,0,New,Santacruz
3504,105000000.0,80769.0,1800.0,1300.0,1750.0,North-East,Freehold,3.0,3.0,2.0,11.0,Semifurnished,Flat,Mumbai,350,0,1,1,0,0,Relatively New,Worli
3811,1200000.0,1200000.0,,1.0,,,Freehold,1.0,1.0,1.0,4.0,Unfurnished,Flat,Mumbai,30,0,0,0,0,0,Relatively Old,Vasai-Virar
4245,65000000.0,82487.0,,788.0,,,Freehold,2.0,2.0,1.0,16.0,Semifurnished,Flat,Mumbai,26,1,0,0,0,0,Relatively New,Khar
5292,4700000.0,326615.0,,,,East,Freehold,2.0,2.0,0.0,0.0,Unfurnished,House,Navi Mumbai,12,0,0,0,0,0,Relatively Old,Airoli
5311,5800000.0,181250.0,,960.0,,West,Freehold,1.0,2.0,1.0,0.0,Unfurnished,House,Navi Mumbai,32,0,0,0,0,0,Relatively Old,Kharghar
