,property_name,location,price,price_per_sqft,super_built_up_area,carpet_area,builtup_area,facing,ownership,bedrooms,bathrooms,balcony,floor,furnish_type,rating,prop_type,city,luxury_score,Study Room,Servant Room,Store Room,Pooja Room,Others,ageing,location_area
6008,"Walkeshwar, Malabar Hill, Mumbai, Mumbai South",Walkeshwar,10000000000,818529,,55000,108000,,Freehold,4,4,3,0,Unfurnished,4.2,House,Mumbai,152,0,0,0,0,0,Under Construction,Girgaon
5739,"Juhu Tara, Mumbai, Western Mumbai",Juhu Tara,2550000000,167763,,,,East,Freehold,7,7,0,0,Furnished,,House,Mumbai,270,1,1,1,1,0,Old,Juhu
6447,"Juhu Tara rd, Western Mumbai",Juhu Tara rd,2500000000,227272,,,,,Co-operative Society,3,3,0,0,Semifurnished,,House,Mumbai,32,0,1,0,0,0,Old,Juhu
5727,"Juhu, Mumbai, Western Mumbai",Juhu,1550000000,110714,,14000,18000,East,Freehold,1,2,3,0,Furnished,4.4,House,Mumbai,330,1,1,1,1,0,Relatively New,Juhu
5759,On Request,Juhu,1100000000,144341,,,,,Freehold,7,8,3,0,Unfurnished,4.4,House,Mumbai,0,1,1,0,1,0,New,Juhu
5953,Sandhu Palace,Pali Hill,1030000000,103000,,10000,,,Freehold,1,8,3,0,Unfurnished,3.9,House,Mumbai,156,1,1,1,1,0,Relatively New,Bandra
6026,"Seven Bunglow, Andheri West, Western Mumbai",Seven Bunglow,1000000000,200000,,5000,,,Freehold,5,6,2,0,Semifurnished,4.2,House,Mumbai,288,1,1,1,1,0,Relatively Old,Bandra
6344,"Colaba, Mumbai, Mumbai South",Colaba,1000000000,125000,,,,,Co-operative Society,1,6,0,0,Semifurnished,4.4,House,Mumbai,0,0,0,0,0,0,Old,Colaba
6103,"Peddar Road, Mumbai, Mumbai South",Peddar Road,900000000,121178,,,,West,Freehold,1,1,3,0,Unfurnished,3.8,House,Mumbai,138,0,0,0,0,0,Old,Cumbala Hill
5715,"Juhu, Mumbai, Western Mumbai",Juhu,800000000,128824,,,,East,Freehold,8,6,0,,Furnished,4.4,House,Mumbai,0,1,1,0,1,1,Relatively New,Juhu
6064,"Juhu Circle, Mumbai, Western Mumbai",Juhu Circle,650000000,109794,,,,West,Freehold,6,9,3,0,Furnished,3.9,House,Mumbai,290,1,1,1,1,0,Old,Others
