price,carpet_area,facing,bedrooms,bathrooms,balcony,furnish_type,prop_type,city,Store Room,ageing,location_area,luxury_category,floor_category
6.9,1092.0,North-East,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively New,Parel,High,High Floor
4.5,1051.0,North-East,3.0,3.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Ghatkopar,Medium,Mid Floor
7.3,1081.0,North-East,3.0,3.0,2.0,Semifurnished,Flat,Mumbai,1,Relatively Old,Goregaon,High,Low Floor
1.56,486.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,New,Kandivali,Low,Mid Floor
1.43,625.0,East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Mulund,Medium,Low Floor
1.55,610.0,North-East,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively Old,Bhandup,Medium,High Floor
1.32,650.0,North-West,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,0,Old,Mulund,Medium,Mid Floor
3.0,620.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,1,Relatively New,Bandra,Medium,Mid Floor
1.99,875.0,Missing,3.0,3.0,0.0,Furnished,Flat,Mumbai,0,Old,Mulund,Medium,Low Floor
2.9,620.0,East,2.0,2.0,0.0,Semifurnished,Flat,Mumbai,1,Relatively New,Bandra,Medium,Mid Floor
3.39,906.0,South,2.0,2.0,1.0,Unfurnished,Flat,Mumbai,1,Relatively New,Goregaon,Medium,High Floor
8.5,1500.0,Missing,3.0,3.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Others,Medium,High Floor
0.31,468.0,Missing,1.0,1.0,1.0,Unfurnished,Flat,Thane,0,Relatively New,Thane,Low,Mid Floor
7.25,1140.0,East,3.0,3.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively New,Bandra,Medium,Mid Floor
7.57,1434.0,North-West,3.0,4.0,3.0,Furnished,Flat,Mumbai,0,Old,Powai,Medium,High Floor
1.1,704.42,South-West,2.0,2.0,3.0,Unfurnished,Flat,Navi Mumbai,0,Relatively Old,Ulwe,Medium,Mid Floor
6.46,1157.0,North-East,3.0,4.0,2.0,Furnished,Flat,Mumbai,0,Old,Powai,Medium,High Floor
4.75,1100.0,Missing,3.0,3.0,0.0,Semifurnished,Flat,Mumbai,0,Relatively Old,Bandra,Medium,Mid Floor
3.15,1278.0,North-East,3.0,3.0,1.0,Semifurnished,Flat,Mumbai,0,Relatively New,Bhandup,Medium,High Floor
3.08,1268.0,North-East,3.0,3.0,3.0,Semifurnished,Flat,Mumbai,0,Relatively New,Bhandup,Medium,Mid Floor
1.08,447.0,North-West,1.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Relatively New,Jogeshwari,Medium,Mid Floor
1.6,650.0,North-West,2.0,2.0,0.0,Unfurnished,Flat,Mumbai,0,Old,Andheri,Medium,Mid Floor
