name,name_location,link,price,price_per_sqft,area,area_type,bedroom,bathroom,description,super_builtup,built_up,carpet_area,config_bedroom,config_bathroom,balcony,additional_rooms,price_text,floor,facing,overlooking,age,address,society,furnish_type,property_id,nearby_locations,furnish_details,features,rating,rating_list,status,Unnamed: 0
Amar Villa Heritage,"3 BHK House for sale in Chembur, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-amar-villa-heritage-chembur-central-mumbai-800-sq-ft-r5-spid-E73263501,₹3.25 Cr,"₹40,625 /sqft",800 sqft,Carpet Area,3 BHK,2  Baths,"Available excellent 2.5bhk for sale at diamond garden, close to ahubilla math. This beautiful apartment is a corner property which receives ample sunlight and ventilation. It is located in a quite and peaceful area and enjoys great connectivity to best restaurants, supermarkets, banks, salons etc. The building has a grand entrance lobby is well maintained society. Call us for inspection of this...",,,800.0,3 Bedrooms,2 Bathrooms,No Balcony,,3.25 Crore,6th   of 13 Floors,North,Others,1 to 5 Year Old,"Amar Villa Heritage Chembur, Mumbai",Amar Villa Heritage,Unfurnished,E73263501,"['Sharadambal Temple', 'Mar Gregorios Orthodox Syrian Church', 'masjid', 'Siddhi Vinayak Temple', 'Lobo Eye Clinic', 'Diamond Polyclinic', 'Laxmi Maternity and Nursing Home Mumbai', 'JOY Hospital', 'Sunny Childrens Hospital', 'Zen Multi Speciality Hospital', 'Oma Hospital', 'Shree Chembur Jain Medical Relief Centre', 'Rushabh Eye Hospital and Laser Centre', 'Dr.Sanjay Sonar Laparoscopy and Scopy Center', 'Dr. Das Hospital - Chembur Mumbai', 'Tandon Hospital', 'Mata Ramabai B Ambedkar Hospital', 'Matoshri Ramabai Ambedkar Maternity Hospital', 'Aayush Eye Clinic & Aayush Lasik Centre', 'Kolekar Hospital & ICCU', 'Shree Hospital', 'Hegde Hospital', 'Sai Kripa Childrens Hospital', 'Kamran Nursing Home', 'Dr Smita Mukherjees Eye Clinic', 'Yash Eye Care and Polyclinic', 'Disha Polyclinic and Nursing Home', ""Patankar's Hand and Limb Reconstruction Clinic"", 'Varsha Gandre Parekh Maternity and Surgical Hospital', 'Niramaya General Hospital', 'Balaji Medicals', 'Idfc first bank', 'Dena bank', 'State bank of india specialised nri branch', 'Hdfc bank', 'Ing bank', 'Icici bank', 'Vijya bank', 'Tea Ville Cafe', 'The J', 'Tossin Pizza', 'Barista', 'Geeta Bhawan', 'Dominoz Pizza', 'Via Bombay', 'Sevadaan Special School', 'National Job Development Center', 'Marathi Muncipal School', 'Vnp & rc marg junction railway station', 'Chembur railway station']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",4.2,"{'Environment': 4.0, 'Lifestyle': 4.3, 'Connectivity': 4.3, 'Safety': 4.2}",Ready To Move,
Tirumala Estate,"2 BHK House for sale in Kalher, Thane West",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tirumala-estate-kalher-mumbai-thane-720-sq-ft-r4-spid-N64948462,₹28.8 Lac,"₹4,000 /sqft",720 sqft,Built-up Area,2 BHK,2  Baths,"This 2 bhk flat is located in tirumala estate, which houses some of the most spacious flats in kalher, mumbai thane. The floor plan additionally contains 2 bathrooms and 1 balcony. All in all, the flat is spread over anbuilt up area of 720 sq.Ft.. The flat building has a total of 3 floors and this property is situated on 1st floor. This is a ready to move project and the property is 0-1 year(s)...",,720.0,504.0,2 Bedrooms,2 Bathrooms,1 Balcony,,28.8 Lac,1st   of 3 Floors,North-West,,0 to 1 Year Old,"Tirumala Estate Kalher, Thane West",Tirumala Estate,Unfurnished,N64948462,"['LEO Internaonal School', 'Lile Angel School', 'L.B. Joshi Foundation School', 'Divine English High School', 'Holy Mary School', 'S.S. Hospital & Research Center', 'Asha Mul-Speciality Hospital', 'ICICI Bank', 'Union Bank of India', 'Central Bank', 'Kotak Mahindra', 'GP Parsik Bank']",[],"['Lift(s)', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",3.3,"{'Management': 3.3, 'Amenities': 3.3, 'Green Area': 3.2, 'Construction': 3.2, 'Connectivity': 3.3}",Ready To Move,
Hiranandani Lightbridge,"3 BHK House for sale in Hiranandani Meadows, Manpada",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-lightbridge-hiranandani-meadows-mumbai-thane-2150-sq-ft-r17-spid-C63024150,₹4.15 Cr,"₹19,302 /sqft","2,150 sqft",Super Built-up Area,3 BHK,3  Baths,"Explore your dream home 3 bhk flat for sale in hiranandani lightbridge, thane We are delighted to present an excellent opportunity to purchase a beautiful 3 bhk flat in the prestigious hiranandani lightbridge located in the serene hiranandani meadows, thane. Key features: 3 bedrooms spacious, well-Ventilated, and designed for comfort. West-Facing enjoy beautiful sunsets and natural light throug...",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Hiranandani Athena and Barca,"2 BHK House for sale in Hiranandani Estate, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-athena-and-barca-hiranandani-estate-mumbai-thane-1004-sq-ft-spid-X81160113,₹1.85 Cr,"₹18,426 /sqft","1,004 sqft",Built-up Area,2 BHK,2  Baths,"Located in the popular residential address of hiranandani estate, thane, hiranandani athena and barca is one of the most preferred destination for apartments in thane. This 2 bhk flat is your ticket to be a part of this community. This is a north-Facing property. The flat is over 1004 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 13 floor...",,1004.0,704.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1.85 Crore,11st   of 13 Floors,North,"Park/Garden,Club,Main Road",1 to 5 Year Old,"Hiranandani Athena and Barca Hiranandani Estate, Thane",Hiranandani Athena and Barca,Semifurnished,X81160113,"['Thane Railway Station', 'Arcadia Mall', 'National Highway', 'Podar International School', 'Sikkim Manipal University', 'Horizon Prime Hospital', 'Butterfly Garden', 'Dadoji Kondadev Stadium']","['2 Fan', '1 Exhaust Fan', '4 Light', '1 AC', '1 Modular Kitchen']","['Lift(s)', 'Maintenance Staff', 'Park', 'Piped-gas', 'Rain Water Harvesting']",4.5,"{'Environment': 4.5, 'Lifestyle': 4.6, 'Connectivity': 4.5, 'Safety': 4.6}",Ready To Move,
Shree Samarth Paradise,"1 BHK House for sale in Neral, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-shree-samarth-paradise-neral-mumbai-beyond-thane-515-sq-ft-r1-spid-Z79160687,₹20.16 Lac,"₹3,914 /sqft",515 sqft,Built-up Area,1 BHK,1  Bath,"Shree samarth paradise Maha rera registration no:- Pphone_number Site address:- Shree samarth paradise, plot no 1,2&3, survey no. 376, opp. Ganga nagar, near nirman nagari, neral-Kalamb-Murbad road, neral east. Office address:- Manas enterprises, shop no. 18, aditi nirman co-Housing society, a wing, nirman nagari, neral east near, neral railway station, tehsil-Karjat, dist-Raigad. Project by :-...",,515.0,350.0,1 Bedroom,1 Bathroom,2 Balconies,,20.16 Lac,7th   of 7 Floors,East,"Main Road,Club,Park/Garden,Others",0 to 1 Year Old,"Shree Samarth Paradise Neral, Thane",Shree Samarth Paradise,Semifurnished,Z79160687,"['Neral train station', 'MH SH 79', 'Sharwil CBSE English School', 'DIKLAP College Of Engineering', 'Dhanvantari Hospital', 'CSM International Airport', 'Westend Hotel Matheran', 'Birdole Cricket Stadium']","['4 Light', '1 Modular Kitchen']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",3.9,"{'Environment': 4.4, 'Lifestyle': 3.9, 'Connectivity': 3.7, 'Safety': 4.1}",Ready To Move,
Jade park,"3 BHK House for sale in Juhu, Mumbai",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-juhu-western-mumbai-1200-sq-ft-spid-E81686858,₹6 Cr,"₹50,000 /sqft","1,200 sqft",Carpet Area,3 BHK,3  Baths,"Jade park epitomizes the essence of luxury living, perfectly reflected in a vibrant and close-Knit community. Nestled in the heart of vile parle west, this unique gem sets a new standard for residential excellence. It harmoniously blends elegant living spaces with an array of luxurious lifestyle amenities, offering a life of sophistication and comfort. Spanning 3 acres of low-Density redevelopm...",,,,,,,,,,,,,,,,,[],[],[],,{},Under Construction,
Lodha Splendora,"2 BHK House for sale in Ghodbunder Road, Thane",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-splendora-ghodbunder-road-mumbai-thane-1250-sq-ft-r20-spid-J39987971,₹84 Lac,"₹8,096 /sqft","1,250 sqft",Super Built-up Area,2 BHK,2  Baths,"This is a property where you can feel the nature and pollution free environment while enjoying your homes in thane city, it provides you good ambience surrounded with nature and peace. It comes with all basic amenities like garden, play court, children play area & many more, flat is very well maintained which includes modular kitchen, wardrobes, & etc. It comes with all luxurios amenities like ...",1250.0,1150.0,707.0,2 Bedrooms,2 Bathrooms,1 Balcony,Store Room,84 Lac,18th   of 31 Floors,East,"Main Road,Park/Garden",1 to 5 Year Old,"Lodha Splendora Ghodbunder Road, Thane",Lodha Splendora,Semifurnished,J39987971,"['Thane Railway Station', 'Kapurbawdi Metro Station', 'Big Centre Thane', 'NH 48', 'DG International School', 'Aarav Muchhala Junior College', 'Brahmand Multispeciality Hospital', 'CSM International Airport', 'Thaneone Corporate Business IT Park', 'Suraj Water Park', 'Golden Swan Country Club', 'Dadoji Kondadev Stadium', 'Seashore New Point']","['5 Fan', '5 Light']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",4.2,"{'Management': 3.9, 'Amenities': 4.4, 'Green Area': 4.5, 'Construction': 3.9, 'Connectivity': 4.1}",Ready To Move,
Wadhwa Pristine,"2 BHK House for sale in Mahalaxmi Sindhi Colony, Matunga, Mumbai",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-pristine-mahalaxmi-sindhi-colony-mumbai-south-760-sq-ft-r2-spid-L77104697,₹4.5 Cr,"₹59,165 /sqft",760 sqft,Carpet Area,2 BHK,2  Baths,"This beautiful 2 bhk flat in mahalaxmi sindhi colony, mumbai south is situated in wadhwa pristine, one of the popular residential society in mumbai south. This residential flat is east-Facing direction. Containing 2 bedroom(s), 2 bathrooms, this flat is spread over a built up area of 762 sq.Ft. The residential building has 38 floors in total and the flat for sale is located on the 9th floor. Th...",,,70.66,2 Bedrooms,2 Bathrooms,No Balcony,,4.5 Crore,9th   of 38 Floors,East,Main Road,1 to 5 Year Old,"Wadhwa Pristine Mahalaxmi Sindhi Colony, Matunga, Mumbai",Wadhwa Pristine,Semifurnished,L77104697,"['Dadar W Railway station', 'Dharavi Metro Station', 'Star mall', 'Gokhale Road', 'Eastern Express Highway', 'Shardashram Vidyamandir Int. School', 'Mumbai University', 'Hinduja Hospital OPD Building', 'Chhatrapati Shivaji Maharaj Int. Airport', 'Chhatrapati Shivaji maharaj Park', 'ITC Grand Central Hotel', 'Dadar Chowpatty']","['1 Exhaust Fan', '2 Geyser', '3 AC', '1 Modular Kitchen']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Rain Water Harvesting']",4.0,"{'Environment': 4.0, 'Lifestyle': 4.0, 'Connectivity': 4.0, 'Safety': 3.8}",Ready To Move,
shraddha evoque wing chsl,"1 BHK House for sale in Bhandup West, Mumbai",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhandup-west-central-mumbai-suburbs-229-sq-ft-spid-Y81646789,₹50 Lac,"₹21,834 /sqft",229 sqft,Carpet Area,1 BHK,1  Bath,"We are the proud owners of this 1 rk east facing apartment available in shraddha evoque a wing chsl, bhandup west, central mumbai. This it is a and the unit is located on 11th floor and has a carpet area of 229 sq.Ft. . It has 1 bathroom(s). The ownership is freehold type.",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
Dharma sita park,"1 BHK House for sale in Dombivli West, Thane",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-dombivli-west-mumbai-beyond-thane-590-sq-ft-spid-F81608437,₹50 Lac,"₹10,309 /sqft",590 sqft,Built-up Area,1 BHK,1  Bath,"Specious hall bed room & kitchen
Ample fresh air
5min from dombivli & thakurli railway station , east facing lift
Nearest bridge for nashik highway &thane city",,,,,,,,,,,,,,,,,[],[],[],,{},Ready To Move,
